ID,Odds,Bet,Result,Profit 
91,5.5,$40.00 ,Lose,-40.00
92,3.25,$80.00 ,Win,180.00
93,6.5,$10.00 ,Lose,-10.00
94,6,$20.00 ,Lose,-20.00
95,11,$40.00 ,Win,400.00
96,3.5,$10.00 ,Lose,-10.00
97,5,$20.00 ,Lose,-20.00
98,13,$40.00 ,Lose,-40.00
99,3.5,$80.00 ,Win,200.00
100,3.25,$10.00 ,Lose,-10.00
101,3.5,$20.00 ,Win,50.00
102,21,$10.00 ,Lose,-10.00
103,8,$20.00 ,Lose,-20.00
104,7,$40.00 ,Win,240.00
105,2.5,$10.00 ,Lose,-10.00
106,5.5,$20.00 ,Win,90.00
107,5.5,$10.00 ,Win,45.00
108,7.5,$10.00 ,Win,65.00
109,4,$10.00 ,Lose,-10.00
110,8,$20.00 ,Lose,-20.00
111,3.25,$40.00 ,Win,90.00
112,1.8,$10.00 ,Win,8.00
113,12,$10.00 ,Win,110.00
114,3.75,$10.00 ,Lose,-10.00
115,4,$20.00 ,Lose,-20.00
116,5,$40.00 ,Lose,-40.00
117,2.88,$80.00 ,Win,150.40
118,5,$10.00 ,Lose,-10.00
119,4.5,$20.00 ,Lose,-20.00
120,26,$40.00 ,Win,"1,000.00"
121,7,$10.00 ,Lose,-10.00
122,12,$20.00 ,Lose,-20.00
123,17,$40.00 ,Lose,-40.00
124,6,$80.00 ,Lose,-80.00
125,6,$160.00 ,Lose,-160.00
126,4.33,$320.00 ,Lose,-320.00
127,15,$640.00 ,Lose,-640.00
128,10,"$1,280.00 ",Lose,"-1,280.00"
129,9,"$2,560.00 ",Win,"20,480.00"
130,4.5,$10.00 ,Lose,-10.00
131,5.5,$20.00 ,Win,90.00
132,3.5,$10.00 ,Win,25.00
133,5.5,$10.00 ,Lose,-10.00
134,2.88,$20.00 ,Lose,-20.00
135,3,$40.00 ,Lose,-40.00
136,2.38,$80.00 ,Win,110.40
137,9,$10.00 ,Win,80.00
138,9,$10.00 ,Win,80.00
139,11,$10.00 ,Lose,-10.00
140,4,$20.00 ,Lose,-20.00
141,2.88,$40.00 ,Lose,-40.00
142,11,$80.00 ,Lose,-80.00
143,7.5,$160.00 ,Win,"1,040.00"
144,2.5,$10.00 ,Lose,-10.00
145,2.38,$20.00 ,Lose,-20.00
146,8,$40.00 ,Win,280.00
147,26,$10.00 ,Lose,-10.00
148,9,$20.00 ,Lose,-20.00
149,5,$40.00 ,Lose,-40.00
150,21,$80.00 ,Lose,-80.00
151,11,$160.00 ,Lose,-160.00
152,11,$320.00 ,Lose,-320.00
153,4,$640.00 ,Lose,-640.00
154,4,"$1,280.00 ",Lose,"-1,280.00"
155,7,"$2,560.00 ",Lose,"-2,560.00"
156,9,"$5,120.00 ",Win,"40,960.00"
157,15,$10.00 ,Lose,-10.00
158,2.1,$20.00 ,Win,22.00
159,4,$10.00 ,Lose,-10.00
160,6,$20.00 ,Lose,-20.00
161,13,$40.00 ,Lose,-40.00
162,2.38,$80.00 ,Win,110.40
163,3,$10.00 ,Lose,-10.00
164,7,$20.00 ,Win,120.00
165,5,$10.00 ,Lose,-10.00
166,2.88,$20.00 ,Win,37.60
167,4.5,$10.00 ,Lose,-10.00
168,3.5,$20.00 ,Win,50.00
169,4,$10.00 ,Lose,-10.00
170,3,$20.00 ,Win,40.00
171,6,$10.00 ,Win,50.00
172,13,$10.00 ,Lose,-10.00
173,10,$20.00 ,Win,180.00
174,7,$10.00 ,Win,60.00
175,8,$10.00 ,Lose,-10.00
176,3,$20.00 ,Win,40.00
177,2.38,$10.00 ,Win,13.80
178,17,$10.00 ,Lose,-10.00
179,9,$20.00 ,Lose,-20.00
180,5,$40.00 ,Win,160.00
181,4,$10.00 ,Lose,-10.00
182,8,$20.00 ,Win,140.00
183,7.5,$10.00 ,Lose,-10.00
184,4,$20.00 ,Lose,-20.00
185,8,$40.00 ,Lose,-40.00
186,3.5,$80.00 ,Lose,-80.00
187,2.38,$160.00 ,Lose,-160.00
188,2.5,$320.00 ,Lose,-320.00
189,5.5,$640.00 ,Lose,-640.00
190,11,"$1,280.00 ",Win,"12,800.00"
191,3,$10.00 ,Lose,-10.00
192,4.5,$20.00 ,Lose,-20.00
193,10,$40.00 ,Win,360.00
194,8,$10.00 ,Lose,-10.00
195,8.5,$20.00 ,Win,150.00
196,4,$10.00 ,Lose,-10.00
197,3.25,$20.00 ,Win,45.00
198,7,$10.00 ,Lose,-10.00
199,5,$20.00 ,Lose,-20.00
200,11,$40.00 ,Win,400.00
201,15,$10.00 ,Win,140.00
202,6,$10.00 ,Win,50.00
203,9,$10.00 ,Lose,-10.00
204,8,$20.00 ,Lose,-20.00
205,3.5,$40.00 ,Lose,-40.00
206,9,$80.00 ,Lose,-80.00
207,3.5,$160.00 ,Win,400.00
208,6,$10.00 ,Win,50.00
209,4,$10.00 ,Lose,-10.00
210,4,$20.00 ,Win,60.00
211,13,$10.00 ,Win,120.00
212,9,$10.00 ,Win,80.00
213,13,$10.00 ,Lose,-10.00
214,21,$20.00 ,Lose,-20.00
215,8,$40.00 ,Lose,-40.00
216,1.91,$80.00 ,Win,72.80
217,3.75,$10.00 ,Lose,-10.00
218,1.83,$20.00 ,Lose,-20.00
219,10,$40.00 ,Win,360.00
220,2.63,$10.00 ,Lose,-10.00
221,2.62,$20.00 ,Win,32.40
222,6.5,$10.00 ,Lose,-10.00
223,2.38,$20.00 ,Lose,-20.00
224,9,$40.00 ,Lose,-40.00
225,5,$80.00 ,Lose,-80.00
226,3.75,$160.00 ,Lose,-160.00
227,6,$320.00 ,Lose,-320.00
228,8.5,$640.00 ,Lose,-640.00
229,2,"$1,280.00 ",Win,"1,280.00"
230,3,$10.00 ,Lose,-10.00
231,4,$20.00 ,Win,60.00
232,8,$10.00 ,Win,70.00
233,3.5,$10.00 ,Win,25.00
234,7.5,$10.00 ,Win,65.00
235,6.5,$10.00 ,Win,55.00
236,5,$10.00 ,Lose,-10.00
237,4.5,$20.00 ,Lose,-20.00
238,6.5,$40.00 ,Lose,-40.00
239,2.88,$80.00 ,Win,150.40
240,6,$10.00 ,Win,50.00
241,6,$10.00 ,Lose,-10.00
242,9,$20.00 ,Win,160.00
243,11,$10.00 ,Lose,-10.00
244,4.5,$20.00 ,Lose,-20.00
245,3.25,$40.00 ,Lose,-40.00
246,7,$80.00 ,Win,480.00
247,3.25,$10.00 ,Win,22.50
248,15,$10.00 ,Win,140.00
249,11,$10.00 ,Win,100.00
250,11,$10.00 ,Win,100.00
251,8,$10.00 ,Win,70.00
252,11,$10.00 ,Win,100.00
253,3.75,$10.00 ,Win,27.50
254,6.5,$10.00 ,Lose,-10.00
255,3.75,$20.00 ,Lose,-20.00
256,2.62,$40.00 ,Lose,-40.00
257,2.5,$80.00 ,Win,120.00
258,6,$10.00 ,Lose,-10.00
259,3.75,$20.00 ,Lose,-20.00
260,3.75,$40.00 ,Win,110.00
261,5,$10.00 ,Win,40.00
262,4.5,$10.00 ,Lose,-10.00
263,3.75,$20.00 ,Lose,-20.00
264,12,$40.00 ,Lose,-40.00
265,11,$80.00 ,Win,800.00
266,3.25,$10.00 ,Lose,-10.00
267,7,$20.00 ,Win,120.00
268,3,$10.00 ,Lose,-10.00
269,3,$20.00 ,Win,40.00
270,2.62,$10.00 ,Win,16.20
271,5.5,$10.00 ,Win,45.00
272,3.25,$10.00 ,Lose,-10.00
273,10,$20.00 ,Lose,-20.00
274,6.5,$40.00 ,Lose,-40.00
275,7,$80.00 ,Lose,-80.00
276,3.5,$160.00 ,Win,400.00
277,13,$10.00 ,Lose,-10.00
278,7,$20.00 ,Lose,-20.00
279,5.5,$40.00 ,Win,180.00
280,5.5,$10.00 ,Win,45.00
281,6,$10.00 ,Lose,-10.00
282,3,$20.00 ,Lose,-20.00
283,6.5,$40.00 ,Win,220.00
284,7,$10.00 ,Win,60.00
285,4,$10.00 ,Win,30.00
286,4.5,$10.00 ,Lose,-10.00
287,8,$20.00 ,Lose,-20.00
288,4,$40.00 ,Lose,-40.00
289,3.5,$80.00 ,Win,200.00
290,7.5,$10.00 ,Win,65.00
291,3.75,$10.00 ,Lose,-10.00
292,4,$20.00 ,Lose,-20.00
293,10,$40.00 ,Win,360.00
294,5,$10.00 ,Lose,-10.00
295,2.1,$20.00 ,Lose,-20.00
296,5,$40.00 ,Lose,-40.00
297,17,$80.00 ,Lose,-80.00
298,2.75,$160.00 ,Win,280.00
299,3.5,$10.00 ,Lose,-10.00
300,5.5,$20.00 ,Win,90.00
301,21,$10.00 ,Lose,-10.00
302,2.88,$20.00 ,Win,37.60
303,8,$10.00 ,Win,70.00
304,3.75,$10.00 ,Lose,-10.00
305,15,$20.00 ,Lose,-20.00
306,2.38,$40.00 ,Win,55.20
307,8.5,$10.00 ,Win,75.00
308,1.91,$10.00 ,Win,9.10
309,13,$10.00 ,Lose,-10.00
310,8,$20.00 ,Win,140.00
311,3.5,$10.00 ,Win,25.00
312,3.5,$10.00 ,Lose,-10.00
313,3,$20.00 ,Lose,-20.00
314,4,$40.00 ,Lose,-40.00
315,4,$80.00 ,Lose,-80.00
316,11,$160.00 ,Lose,-160.00
317,5,$320.00 ,Lose,-320.00
318,3,$640.00 ,Lose,-640.00
319,11,"$1,280.00 ",Lose,"-1,280.00"
320,4,"$2,560.00 ",Lose,"-2,560.00"
321,9,"$5,120.00 ",Lose,"-5,120.00"
322,6.5,"$10,240.00 ",Lose,"-10,240.00"
323,4.5,"$20,480.00 ",Win,"71,680.00"
324,2,$10.00 ,Lose,-10.00
325,5.5,$20.00 ,Lose,-20.00
326,4,$40.00 ,Win,120.00
327,17,$10.00 ,Lose,-10.00
328,3,$20.00 ,Lose,-20.00
329,5,$40.00 ,Win,160.00
330,4.5,$10.00 ,Lose,-10.00
331,1.91,$20.00 ,Win,18.20
332,2.25,$10.00 ,Win,12.50
333,6,$10.00 ,Win,50.00
334,2.1,$10.00 ,Win,11.00
335,5,$10.00 ,Lose,-10.00
336,2.75,$20.00 ,Win,35.00
337,3,$10.00 ,Lose,-10.00
338,3,$20.00 ,Win,40.00
339,2.25,$10.00 ,Lose,-10.00
340,3,$20.00 ,Lose,-20.00
341,5,$40.00 ,Lose,-40.00
342,2.2,$80.00 ,Lose,-80.00
343,3.5,$160.00 ,Lose,-160.00
344,3,$320.00 ,Win,640.00
345,3.25,$10.00 ,Lose,-10.00
346,4.33,$20.00 ,Lose,-20.00
347,3.5,$40.00 ,Win,100.00
348,3.5,$10.00 ,Win,25.00
349,13,$10.00 ,Win,120.00
350,7.5,$10.00 ,Lose,-10.00
351,5.5,$20.00 ,Win,90.00
352,3,$10.00 ,Lose,-10.00
353,5,$20.00 ,Lose,-20.00
354,3.75,$40.00 ,Win,110.00
355,6,$10.00 ,Win,50.00
356,2.62,$10.00 ,Lose,-10.00
357,12,$20.00 ,Lose,-20.00
358,3.5,$40.00 ,Lose,-40.00
359,5,$80.00 ,Win,320.00
360,5.5,$10.00 ,Lose,-10.00
361,3.25,$20.00 ,Lose,-20.00
362,1.73,$40.00 ,Win,29.20
363,3,$10.00 ,Win,20.00
364,5.5,$10.00 ,Lose,-10.00
365,4.33,$20.00 ,Lose,-20.00
366,7,$40.00 ,Win,240.00
367,6,$10.00 ,Win,50.00
368,3.5,$10.00 ,Win,25.00
369,8,$10.00 ,Win,70.00
370,3.75,$10.00 ,Lose,-10.00
371,7,$20.00 ,Lose,-20.00
372,3.75,$40.00 ,Lose,-40.00
373,5,$80.00 ,Lose,-80.00
374,5,$160.00 ,Win,640.00
375,4,$10.00 ,Lose,-10.00
376,3.5,$20.00 ,Lose,-20.00
377,7,$40.00 ,Lose,-40.00
378,3,$80.00 ,Win,160.00
379,5,$10.00 ,Lose,-10.00
380,4.5,$20.00 ,Lose,-20.00
381,4.5,$40.00 ,Lose,-40.00
382,7,$80.00 ,Lose,-80.00
383,5,$160.00 ,Lose,-160.00
384,9,$320.00 ,Lose,-320.00
385,4,$640.00 ,Win,"1,920.00"
386,13,$10.00 ,Win,120.00
387,8,$10.00 ,Lose,-10.00
388,15,$20.00 ,Lose,-20.00
389,2.75,$40.00 ,Lose,-40.00
390,4.5,$80.00 ,Lose,-80.00
391,17,$160.00 ,Lose,-160.00
392,8,$320.00 ,Win,"2,240.00"
393,10,$10.00 ,Lose,-10.00
394,10,$20.00 ,Win,180.00
395,2.5,$10.00 ,Lose,-10.00
396,3.25,$20.00 ,Lose,-20.00
397,2.5,$40.00 ,Lose,-40.00
398,3.25,$80.00 ,Lose,-80.00
399,2.38,$160.00 ,Lose,-160.00
400,17,$320.00 ,Lose,-320.00
401,7,$640.00 ,Win,"3,840.00"
402,3.25,$10.00 ,Lose,-10.00
403,2.62,$20.00 ,Win,32.40
404,13,$10.00 ,Win,120.00
405,9,$10.00 ,Win,80.00
406,5,$10.00 ,Lose,-10.00
407,4.5,$20.00 ,Win,70.00
408,5.5,$10.00 ,Lose,-10.00
409,5,$20.00 ,Lose,-20.00
410,3.5,$40.00 ,Lose,-40.00
411,3.25,$80.00 ,Lose,-80.00
412,2.88,$160.00 ,Win,300.80
413,6.5,$10.00 ,Lose,-10.00
414,2,$20.00 ,Win,20.00
415,3.5,$10.00 ,Lose,-10.00
416,3,$20.00 ,Lose,-20.00
417,4.5,$40.00 ,Lose,-40.00
418,11,$80.00 ,Lose,-80.00
419,5.5,$160.00 ,Lose,-160.00
420,2.5,$320.00 ,Lose,-320.00
421,7,$640.00 ,Win,"3,840.00"
422,6,$10.00 ,Lose,-10.00
423,2.75,$20.00 ,Win,35.00
424,8,$10.00 ,Lose,-10.00
425,2.25,$20.00 ,Win,25.00
426,7,$10.00 ,Win,60.00
427,3.25,$10.00 ,Lose,-10.00
428,7,$20.00 ,Win,120.00
429,10,$10.00 ,Win,90.00
430,8,$10.00 ,Lose,-10.00
431,2.62,$20.00 ,Win,32.40
432,3,$10.00 ,Lose,-10.00
433,2.62,$20.00 ,Win,32.40
434,4.5,$10.00 ,Lose,-10.00
435,2.1,$20.00 ,Lose,-20.00
436,3.75,$40.00 ,Lose,-40.00
437,3.75,$80.00 ,Lose,-80.00
438,7,$160.00 ,Lose,-160.00
439,2.38,$320.00 ,Lose,-320.00
440,6,$640.00 ,Win,"3,200.00"
441,2.38,$10.00 ,Win,13.80
442,6.5,$10.00 ,Lose,-10.00
443,3.75,$20.00 ,Win,55.00
444,4.33,$10.00 ,Lose,-10.00
445,7.5,$20.00 ,Lose,-20.00
446,3.25,$40.00 ,Lose,-40.00
447,6,$80.00 ,Lose,-80.00
448,13,$160.00 ,Lose,-160.00
449,6.5,$320.00 ,Win,"1,760.00"
450,12,$10.00 ,Lose,-10.00
451,3.5,$20.00 ,Win,50.00
452,21,$10.00 ,Lose,-10.00
453,7,$20.00 ,Lose,-20.00
454,2.62,$40.00 ,Lose,-40.00
455,8.5,$80.00 ,Lose,-80.00
456,3.75,$160.00 ,Lose,-160.00
457,4,$320.00 ,Lose,-320.00
458,2.88,$640.00 ,Lose,-640.00
459,2.25,"$1,280.00 ",Lose,"-1,280.00"
460,10,"$2,560.00 ",Lose,"-2,560.00"
461,4.5,"$5,120.00 ",Lose,"-5,120.00"
462,2.75,"$10,240.00 ",Win,"17,920.00"
463,3.5,$10.00 ,Lose,-10.00
464,9,$20.00 ,Lose,-20.00
465,6,$40.00 ,Win,200.00
466,13,$10.00 ,Lose,-10.00
467,5.5,$20.00 ,Lose,-20.00
468,7,$40.00 ,Lose,-40.00
469,3.25,$80.00 ,Lose,-80.00
470,2.5,$160.00 ,Win,240.00
471,6,$10.00 ,Win,50.00
472,6.5,$10.00 ,Win,55.00
473,2.5,$10.00 ,Lose,-10.00
474,8,$20.00 ,Lose,-20.00
475,5.5,$40.00 ,Lose,-40.00
476,7.5,$80.00 ,Lose,-80.00
477,3.5,$160.00 ,Lose,-160.00
478,7.5,$320.00 ,Win,"2,080.00"
479,3.75,$10.00 ,Lose,-10.00
480,2.38,$20.00 ,Lose,-20.00
481,4.5,$40.00 ,Win,140.00
482,5,$10.00 ,Lose,-10.00
483,5,$20.00 ,Lose,-20.00
484,13,$40.00 ,Lose,-40.00
485,7,$80.00 ,Lose,-80.00
486,7.5,$160.00 ,Win,"1,040.00"
487,3.75,$10.00 ,Lose,-10.00
488,2.5,$20.00 ,Lose,-20.00
489,3.5,$40.00 ,Lose,-40.00
490,12,$80.00 ,Win,880.00
491,2.88,$10.00 ,Lose,-10.00
492,2.25,$20.00 ,Lose,-20.00
493,7,$40.00 ,Lose,-40.00
494,3.5,$80.00 ,Lose,-80.00
495,7,$160.00 ,Win,960.00
496,5.5,$10.00 ,Lose,-10.00
497,4.5,$20.00 ,Lose,-20.00
498,10,$40.00 ,Lose,-40.00
499,4.5,$80.00 ,Lose,-80.00
500,8,$160.00 ,Win,"1,120.00"
501,5,$10.00 ,Win,40.00
502,4,$10.00 ,Lose,-10.00
503,11,$20.00 ,Lose,-20.00
504,8,$40.00 ,Lose,-40.00
505,11,$80.00 ,Lose,-80.00
506,8.5,$160.00 ,Lose,-160.00
507,2.38,$320.00 ,Win,441.60
508,7,$10.00 ,Lose,-10.00
509,5,$20.00 ,Lose,-20.00
510,2.75,$40.00 ,Lose,-40.00
511,3.25,$80.00 ,Lose,-80.00
512,3.75,$160.00 ,Lose,-160.00
513,12,$320.00 ,Lose,-320.00
514,6.5,$640.00 ,Lose,-640.00
515,2.62,"$1,280.00 ",Win,"2,073.60"
516,5,$10.00 ,Win,40.00
517,8,$10.00 ,Win,70.00
518,4,$10.00 ,Lose,-10.00
519,7,$20.00 ,Win,120.00
520,2.63,$10.00 ,Lose,-10.00
521,4,$20.00 ,Lose,-20.00
522,7,$40.00 ,Win,240.00
523,2.75,$10.00 ,Lose,-10.00
524,3.25,$20.00 ,Lose,-20.00
525,3,$40.00 ,Win,80.00
526,9,$10.00 ,Lose,-10.00
527,7,$20.00 ,Lose,-20.00
528,3,$40.00 ,Lose,-40.00
529,3.5,$80.00 ,Win,200.00
530,4,$10.00 ,Win,30.00
531,5,$10.00 ,Lose,-10.00
532,1.83,$20.00 ,Lose,-20.00
533,6,$40.00 ,Lose,-40.00
534,2.62,$80.00 ,Win,129.60
535,4,$10.00 ,Win,30.00
536,15,$10.00 ,Lose,-10.00
537,9,$20.00 ,Win,160.00
538,8,$10.00 ,Win,70.00
539,3,$10.00 ,Win,20.00
540,7,$10.00 ,Lose,-10.00
541,6.5,$20.00 ,Lose,-20.00
542,2.2,$40.00 ,Win,48.00
543,3.5,$10.00 ,Lose,-10.00
544,2.62,$20.00 ,Lose,-20.00
545,8,$40.00 ,Lose,-40.00
546,3,$80.00 ,Win,160.00
547,5,$10.00 ,Win,40.00
548,2.1,$10.00 ,Lose,-10.00
549,6.5,$20.00 ,Win,110.00
550,15,$10.00 ,Win,140.00
551,11,$10.00 ,Win,100.00
552,3.75,$10.00 ,Lose,-10.00
553,5,$20.00 ,Lose,-20.00
554,7.5,$40.00 ,Lose,-40.00
555,8,$80.00 ,Lose,-80.00
556,5.5,$160.00 ,Win,720.00
557,6.5,$10.00 ,Lose,-10.00
558,10,$20.00 ,Win,180.00
559,9,$10.00 ,Lose,-10.00
560,2.1,$20.00 ,Win,22.00
561,3,$10.00 ,Lose,-10.00
562,2.75,$20.00 ,Lose,-20.00
563,5.5,$40.00 ,Lose,-40.00
564,5.5,$80.00 ,Lose,-80.00
565,3.25,$160.00 ,Lose,-160.00
566,3.5,$320.00 ,Win,800.00
567,2.25,$10.00 ,Win,12.50
568,2.38,$10.00 ,Lose,-10.00
569,5.5,$20.00 ,Lose,-20.00
570,3,$40.00 ,Lose,-40.00
571,3.25,$80.00 ,Lose,-80.00
572,5,$160.00 ,Win,640.00
573,17,$10.00 ,Lose,-10.00
574,2.38,$20.00 ,Win,27.60
575,3.5,$10.00 ,Lose,-10.00
576,5,$20.00 ,Lose,-20.00
577,5.5,$40.00 ,Lose,-40.00
578,3.25,$80.00 ,Lose,-80.00
579,11,$160.00 ,Win,"1,600.00"
580,3.75,$10.00 ,Win,27.50
581,19,$10.00 ,Lose,-10.00
582,5,$20.00 ,Lose,-20.00
583,10,$40.00 ,Win,360.00
584,3.5,$10.00 ,Lose,-10.00
585,11,$20.00 ,Win,200.00
586,3.25,$10.00 ,Win,22.50
587,3.5,$10.00 ,Lose,-10.00
588,3.5,$20.00 ,Lose,-20.00
589,4,$40.00 ,Lose,-40.00
590,2.62,$80.00 ,Lose,-80.00
591,7.5,$160.00 ,Win,"1,040.00"
592,3.75,$10.00 ,Lose,-10.00
593,2.37,$20.00 ,Win,27.40
594,4.5,$10.00 ,Lose,-10.00
595,4,$20.00 ,Lose,-20.00
596,6.5,$40.00 ,Win,220.00
597,7.5,$10.00 ,Lose,-10.00
598,3.5,$20.00 ,Lose,-20.00
599,2.25,$40.00 ,Lose,-40.00
600,5.5,$80.00 ,Lose,-80.00
601,4.5,$160.00 ,Lose,-160.00
602,6.5,$320.00 ,Win,"1,760.00"
603,5,$10.00 ,Lose,-10.00
604,8.5,$20.00 ,Win,150.00
605,9,$10.00 ,Win,80.00
606,41,$10.00 ,Win,400.00
607,4.5,$10.00 ,Lose,-10.00
608,4.5,$20.00 ,Lose,-20.00
609,3.5,$40.00 ,Lose,-40.00
610,5,$80.00 ,Lose,-80.00
611,2.88,$160.00 ,Lose,-160.00
612,2.88,$320.00 ,Lose,-320.00
613,3.25,$640.00 ,Win,"1,440.00"
614,4.5,$10.00 ,Lose,-10.00
615,4,$20.00 ,Lose,-20.00
616,8,$40.00 ,Win,280.00
617,4.5,$10.00 ,Lose,-10.00
618,5.5,$20.00 ,Lose,-20.00
619,4.33,$40.00 ,Lose,-40.00
620,11,$80.00 ,Lose,-80.00
621,2,$160.00 ,Lose,-160.00
622,2.62,$320.00 ,Lose,-320.00
623,11,$640.00 ,Lose,-640.00
624,17,"$1,280.00 ",Lose,"-1,280.00"
625,13,"$2,560.00 ",Lose,"-2,560.00"
626,26,"$5,120.00 ",Lose,"-5,120.00"
627,9,"$10,240.00 ",Lose,"-10,240.00"
628,6,"$20,480.00 ",Win,"102,400.00"
629,17,$10.00 ,Lose,-10.00
630,6,$20.00 ,Lose,-20.00
631,5,$40.00 ,Lose,-40.00
632,5,$80.00 ,Win,320.00
633,2.75,$10.00 ,Lose,-10.00
634,3.5,$20.00 ,Lose,-20.00
635,3.25,$40.00 ,Lose,-40.00
636,1.4,$80.00 ,Win,32.00
637,15,$10.00 ,Win,140.00
638,8.5,$10.00 ,Lose,-10.00
639,5.5,$20.00 ,Lose,-20.00
640,2.1,$40.00 ,Win,44.00
641,17,$10.00 ,Lose,-10.00
642,13,$20.00 ,Lose,-20.00
643,17,$40.00 ,Lose,-40.00
644,4,$80.00 ,Win,240.00
645,3.75,$10.00 ,Lose,-10.00
646,15,$20.00 ,Lose,-20.00
647,1.83,$40.00 ,Lose,-40.00
648,34,$80.00 ,Lose,-80.00
649,17,$160.00 ,Lose,-160.00
650,3.75,$320.00 ,Lose,-320.00
651,10,$640.00 ,Lose,-640.00
652,17,"$1,280.00 ",Lose,"-1,280.00"
653,17,"$2,560.00 ",Lose,"-2,560.00"
654,6,"$5,120.00 ",Lose,"-5,120.00"
655,17,"$10,240.00 ",Win,"163,840.00"
656,8,$10.00 ,Lose,-10.00
657,2,$20.00 ,Win,20.00
658,13,$10.00 ,Lose,-10.00
659,15,$20.00 ,Lose,-20.00
660,1.9,$40.00 ,Win,36.00
661,9,$10.00 ,Win,80.00
662,9,$10.00 ,Lose,-10.00
663,11,$20.00 ,Lose,-20.00
664,21,$40.00 ,Win,800.00
665,1.73,$10.00 ,Win,7.30
666,9,$10.00 ,Lose,-10.00
667,7.5,$20.00 ,Win,130.00
668,3,$10.00 ,Lose,-10.00
669,17,$20.00 ,Win,320.00
670,15,$10.00 ,Win,140.00
671,41,$10.00 ,Win,400.00
672,11,$10.00 ,Lose,-10.00
673,8.5,$20.00 ,Lose,-20.00
674,4.33,$40.00 ,Lose,-40.00
675,4,$80.00 ,Win,240.00
676,15,$10.00 ,Lose,-10.00
677,5.5,$20.00 ,Lose,-20.00
