ID,Odds,Bet,Result,Profit
64,3.25,"$1,000.00",Win,"$2,250.00"
65,4,"$1,000.00",Lose,$0.00
66,15.1,"$1,000.00",Win,"$14,100.00"
67,15,"$1,000.00",Lose,$0.00
68,3.25,"$1,000.00",Win,"$2,250.00"
69,8,"$1,000.00",Win,"$7,000.00"
70,10,"$1,000.00",Win,"$9,000.00"
71,2.5,"$1,000.00",Win,"$1,500.00"
72,13,"$1,000.00",Lose,$0.00
73,3.5,"$1,000.00",Lose,$0.00
74,2,"$1,000.00",Lose,$0.00
75,2.1,"$1,000.00",Lose,$0.00
76,13,"$1,000.00",Win,"$12,000.00"
77,3.5,"$1,000.00",Win,"$2,500.00"
78,4,"$1,000.00",Lose,$0.00
79,3.25,"$1,000.00",Win,"$2,250.00"
80,9,"$1,000.00",Lose,$0.00
81,7,"$1,000.00",Lose,$0.00
82,10,"$1,000.00",Win,"$9,000.00"
83,2.75,"$1,000.00",Lose,$0.00
84,6,"$1,000.00",Win,"$5,000.00"
85,3.75,"$1,000.00",Win,"$2,750.00"
86,3.75,"$1,000.00",Lose,$0.00
87,8,"$1,000.00",Win,"$7,000.00"
88,10,"$1,000.00",Win,"$9,000.00"
89,4,"$1,000.00",Lose,$0.00
90,6,"$1,000.00",Lose,$0.00
91,5.5,"$1,000.00",Lose,$0.00
92,3.25,"$1,000.00",Win,"$2,250.00"
93,6.5,"$1,000.00",Lose,$0.00
94,6,"$1,000.00",Lose,$0.00
95,11,"$1,000.00",Win,"$10,000.00"
96,3.5,"$1,000.00",Lose,$0.00
97,5,"$1,000.00",Lose,$0.00
98,13,"$1,000.00",Lose,$0.00
99,3.5,"$1,000.00",Win,"$2,500.00"
100,3.25,"$1,000.00",Lose,$0.00
101,3.5,"$1,000.00",Win,"$2,500.00"
102,21,"$1,000.00",Lose,$0.00
103,8,"$1,000.00",Lose,$0.00
104,7,"$1,000.00",Win,"$6,000.00"
105,2.5,"$1,000.00",Lose,$0.00
106,5.5,"$1,000.00",Win,"$4,500.00"
107,5.5,"$1,000.00",Win,"$4,500.00"
108,7.5,"$1,000.00",Win,"$6,500.00"
109,4,"$1,000.00",Lose,$0.00
110,8,"$1,000.00",Lose,$0.00
111,3.25,"$1,000.00",Win,"$2,250.00"
112,1.8,"$1,000.00",Win,$800.00
113,12,"$1,000.00",Win,"$11,000.00"
114,3.75,"$1,000.00",Lose,$0.00
115,4,"$1,000.00",Lose,$0.00
116,5,"$1,000.00",Lose,$0.00
117,2.88,"$1,000.00",Win,"$1,880.00"
118,5,"$1,000.00",Lose,$0.00
119,4.5,"$1,000.00",Lose,$0.00
120,26,"$1,000.00",Win,"$25,000.00"
121,7,"$1,000.00",Lose,$0.00
122,12,"$1,000.00",Lose,$0.00
123,17,"$1,000.00",Lose,$0.00
124,6,"$1,000.00",Lose,$0.00
125,6,"$1,000.00",Lose,$0.00
126,4.33,"$1,000.00",Lose,$0.00
127,15,"$1,000.00",Lose,$0.00
128,10,"$1,000.00",Lose,$0.00
129,9,"$1,000.00",Win,"$8,000.00"
130,4.5,"$1,000.00",Lose,$0.00
131,5.5,"$1,000.00",Win,"$4,500.00"
132,3.5,"$1,000.00",Win,"$2,500.00"
133,5.5,"$1,000.00",Lose,$0.00
134,2.88,"$1,000.00",Lose,$0.00
135,3,"$1,000.00",Lose,$0.00
136,2.38,"$1,000.00",Win,"$1,380.00"
137,9,"$1,000.00",Win,"$8,000.00"
138,9,"$1,000.00",Win,"$8,000.00"
139,11,"$1,000.00",Lose,$0.00
140,4,"$1,000.00",Lose,$0.00
141,2.88,"$1,000.00",Lose,$0.00
142,11,"$1,000.00",Lose,$0.00
143,7.5,"$1,000.00",Win,"$6,500.00"
144,2.5,"$1,000.00",Lose,$0.00
145,2.38,"$1,000.00",Lose,$0.00
146,8,"$1,000.00",Win,"$7,000.00"
147,26,"$1,000.00",Lose,$0.00
148,9,"$1,000.00",Lose,$0.00
149,5,"$1,000.00",Lose,$0.00
150,21,"$1,000.00",Lose,$0.00
151,11,"$1,000.00",Lose,$0.00
152,11,"$1,000.00",Lose,$0.00
153,4,"$1,000.00",Lose,$0.00
154,4,"$1,000.00",Lose,$0.00
155,7,"$1,000.00",Lose,$0.00
156,9,"$1,000.00",Win,"$8,000.00"
157,15,"$1,000.00",Lose,$0.00
158,2.1,"$1,000.00",Win,"$1,100.00"
159,4,"$1,000.00",Lose,$0.00
160,6,"$1,000.00",Lose,$0.00
161,13,"$1,000.00",Lose,$0.00
162,2.38,"$1,000.00",Win,"$1,380.00"
163,3,"$1,000.00",Lose,$0.00
164,7,"$1,000.00",Win,"$6,000.00"
165,5,"$1,000.00",Lose,$0.00
166,2.88,"$1,000.00",Win,"$1,880.00"
167,4.5,"$1,000.00",Lose,$0.00
168,3.5,"$1,000.00",Win,"$2,500.00"
169,4,"$1,000.00",Lose,$0.00
170,3,"$1,000.00",Win,"$2,000.00"
171,6,"$1,000.00",Win,"$5,000.00"
172,13,"$1,000.00",Lose,$0.00
173,10,"$1,000.00",Win,"$9,000.00"
174,7,"$1,000.00",Win,"$6,000.00"
175,8,"$1,000.00",Lose,$0.00
176,3,"$1,000.00",Win,"$2,000.00"
177,2.38,"$1,000.00",Win,"$1,380.00"
178,17,"$1,000.00",Lose,$0.00
179,9,"$1,000.00",Lose,$0.00
180,5,"$1,000.00",Win,"$4,000.00"
181,4,"$1,000.00",Lose,$0.00
182,8,"$1,000.00",Win,"$7,000.00"
183,7.5,"$1,000.00",Lose,$0.00
184,4,"$1,000.00",Lose,$0.00
185,8,"$1,000.00",Lose,$0.00
186,3.5,"$1,000.00",Lose,$0.00
187,2.38,"$1,000.00",Lose,$0.00
188,2.5,"$1,000.00",Lose,$0.00
189,5.5,"$1,000.00",Lose,$0.00
190,11,"$1,000.00",Win,"$10,000.00"
191,3,"$1,000.00",Lose,$0.00
192,4.5,"$1,000.00",Lose,$0.00
193,10,"$1,000.00",Win,"$9,000.00"
194,8,"$1,000.00",Lose,$0.00
195,8.5,"$1,000.00",Win,"$7,500.00"
196,4,"$1,000.00",Lose,$0.00
197,3.25,"$1,000.00",Win,"$2,250.00"
198,7,"$1,000.00",Lose,$0.00
199,5,"$1,000.00",Lose,$0.00
200,11,"$1,000.00",Win,"$10,000.00"
201,15,"$1,000.00",Win,"$14,000.00"
202,6,"$1,000.00",Win,"$5,000.00"
203,9,"$1,000.00",Lose,$0.00
204,8,"$1,000.00",Lose,$0.00
205,3.5,"$1,000.00",Lose,$0.00
206,9,"$1,000.00",Lose,$0.00
207,3.5,"$1,000.00",Win,"$2,500.00"
208,6,"$1,000.00",Win,"$5,000.00"
209,4,"$1,000.00",Lose,$0.00
210,4,"$1,000.00",Win,"$3,000.00"
211,13,"$1,000.00",Win,"$12,000.00"
212,9,"$1,000.00",Win,"$8,000.00"
213,13,"$1,000.00",Lose,$0.00
214,21,"$1,000.00",Lose,$0.00
215,8,"$1,000.00",Lose,$0.00
216,1.91,"$1,000.00",Win,$910.00
217,3.75,"$1,000.00",Lose,$0.00
218,1.83,"$1,000.00",Lose,$0.00
219,10,"$1,000.00",Win,"$9,000.00"
220,2.63,"$1,000.00",Lose,$0.00
221,2.62,"$1,000.00",Win,"$1,620.00"
222,6.5,"$1,000.00",Lose,$0.00
223,2.38,"$1,000.00",Lose,$0.00
224,9,"$1,000.00",Lose,$0.00
225,5,"$1,000.00",Lose,$0.00
226,3.75,"$1,000.00",Lose,$0.00
227,6,"$1,000.00",Lose,$0.00
228,8.5,"$1,000.00",Lose,$0.00
229,2,"$1,000.00",Win,"$1,000.00"
230,3,"$1,000.00",Lose,$0.00
231,4,"$1,000.00",Win,"$3,000.00"
232,8,"$1,000.00",Win,"$7,000.00"
233,3.5,"$1,000.00",Win,"$2,500.00"
234,7.5,"$1,000.00",Win,"$6,500.00"
235,6.5,"$1,000.00",Win,"$5,500.00"
236,5,"$1,000.00",Lose,$0.00
237,4.5,"$1,000.00",Lose,$0.00
238,6.5,"$1,000.00",Lose,$0.00
239,2.88,"$1,000.00",Win,"$1,880.00"
240,6,"$1,000.00",Win,"$5,000.00"
241,6,"$1,000.00",Lose,$0.00
242,9,"$1,000.00",Win,"$8,000.00"
243,11,"$1,000.00",Lose,$0.00
244,4.5,"$1,000.00",Lose,$0.00
245,3.25,"$1,000.00",Lose,$0.00
246,7,"$1,000.00",Win,"$6,000.00"
247,3.25,"$1,000.00",Win,"$2,250.00"
248,15,"$1,000.00",Win,"$14,000.00"
249,11,"$1,000.00",Win,"$10,000.00"
250,11,"$1,000.00",Win,"$10,000.00"
251,8,"$1,000.00",Win,"$7,000.00"
252,11,"$1,000.00",Win,"$10,000.00"
253,3.75,"$1,000.00",Win,"$2,750.00"
254,6.5,"$1,000.00",Lose,$0.00
255,3.75,"$1,000.00",Lose,$0.00
256,2.62,"$1,000.00",Lose,$0.00
257,2.5,"$1,000.00",Win,"$1,500.00"
258,6,"$1,000.00",Lose,$0.00
259,3.75,"$1,000.00",Lose,$0.00
260,3.75,"$1,000.00",Win,"$2,750.00"
261,5,"$1,000.00",Win,"$4,000.00"
262,4.5,"$1,000.00",Lose,$0.00
263,3.75,"$1,000.00",Lose,$0.00
264,12,"$1,000.00",Lose,$0.00
265,11,"$1,000.00",Win,"$10,000.00"
266,3.25,"$1,000.00",Lose,$0.00
267,7,"$1,000.00",Win,"$6,000.00"
268,3,"$1,000.00",Lose,$0.00
269,3,"$1,000.00",Win,"$2,000.00"
270,2.62,"$1,000.00",Win,"$1,620.00"
271,5.5,"$1,000.00",Win,"$4,500.00"
272,3.25,"$1,000.00",Lose,$0.00
273,10,"$1,000.00",Lose,$0.00
274,6.5,"$1,000.00",Lose,$0.00
275,7,"$1,000.00",Lose,$0.00
276,3.5,"$1,000.00",Win,"$2,500.00"
277,13,"$1,000.00",Lose,$0.00
278,7,"$1,000.00",Lose,$0.00
279,5.5,"$1,000.00",Win,"$4,500.00"
280,5.5,"$1,000.00",Win,"$4,500.00"
281,6,"$1,000.00",Lose,$0.00
282,3,"$1,000.00",Lose,$0.00
283,6.5,"$1,000.00",Win,"$5,500.00"
284,7,"$1,000.00",Win,"$6,000.00"
285,4,"$1,000.00",Win,"$3,000.00"
286,4.5,"$1,000.00",Lose,$0.00
287,8,"$1,000.00",Lose,$0.00
288,4,"$1,000.00",Lose,$0.00
289,3.5,"$1,000.00",Win,"$2,500.00"
290,7.5,"$1,000.00",Win,"$6,500.00"
291,3.75,"$1,000.00",Lose,$0.00
292,4,"$1,000.00",Lose,$0.00
293,10,"$1,000.00",Win,"$9,000.00"
294,5,"$1,000.00",Lose,$0.00
295,2.1,"$1,000.00",Lose,$0.00
296,5,"$1,000.00",Lose,$0.00
297,17,"$1,000.00",Lose,$0.00
298,2.75,"$1,000.00",Win,"$1,750.00"
299,3.5,"$1,000.00",Lose,$0.00
300,5.5,"$1,000.00",Win,"$4,500.00"
301,21,"$1,000.00",Lose,$0.00
302,2.88,"$1,000.00",Win,"$1,880.00"
303,8,"$1,000.00",Win,"$7,000.00"
304,3.75,"$1,000.00",Lose,$0.00
305,15,"$1,000.00",Lose,$0.00
306,2.38,"$1,000.00",Win,"$1,380.00"
307,8.5,"$1,000.00",Win,"$7,500.00"
308,1.91,"$1,000.00",Win,$910.00
309,13,"$1,000.00",Lose,$0.00
310,8,"$1,000.00",Win,"$7,000.00"
311,3.5,"$1,000.00",Win,"$2,500.00"
312,3.5,"$1,000.00",Lose,$0.00
313,3,"$1,000.00",Lose,$0.00
314,4,"$1,000.00",Lose,$0.00
315,4,"$1,000.00",Lose,$0.00
316,11,"$1,000.00",Lose,$0.00
317,5,"$1,000.00",Lose,$0.00
318,3,"$1,000.00",Lose,$0.00
319,11,"$1,000.00",Lose,$0.00
320,4,"$1,000.00",Lose,$0.00
321,9,"$1,000.00",Lose,$0.00
322,6.5,"$1,000.00",Lose,$0.00
323,4.5,"$1,000.00",Win,"$3,500.00"
324,2,"$1,000.00",Lose,$0.00
325,5.5,"$1,000.00",Lose,$0.00
326,4,"$1,000.00",Win,"$3,000.00"
327,17,"$1,000.00",Lose,$0.00
328,3,"$1,000.00",Lose,$0.00
329,5,"$1,000.00",Win,"$4,000.00"
330,4.5,"$1,000.00",Lose,$0.00
331,1.91,"$1,000.00",Win,$910.00
332,2.25,"$1,000.00",Win,"$1,250.00"
333,6,"$1,000.00",Win,"$5,000.00"
334,2.1,"$1,000.00",Win,"$1,100.00"
335,5,"$1,000.00",Lose,$0.00
336,2.75,"$1,000.00",Win,"$1,750.00"
337,3,"$1,000.00",Lose,$0.00
338,3,"$1,000.00",Win,"$2,000.00"
339,2.25,"$1,000.00",Lose,$0.00
340,3,"$1,000.00",Lose,$0.00
341,5,"$1,000.00",Lose,$0.00
342,2.2,"$1,000.00",Lose,$0.00
343,3.5,"$1,000.00",Lose,$0.00
344,3,"$1,000.00",Win,"$2,000.00"
345,3.25,"$1,000.00",Lose,$0.00
346,4.33,"$1,000.00",Lose,$0.00
347,3.5,"$1,000.00",Win,"$2,500.00"
348,3.5,"$1,000.00",Win,"$2,500.00"
349,13,"$1,000.00",Win,"$12,000.00"
350,7.5,"$1,000.00",Lose,$0.00
351,5.5,"$1,000.00",Win,"$4,500.00"
352,3,"$1,000.00",Lose,$0.00
353,5,"$1,000.00",Lose,$0.00
354,3.75,"$1,000.00",Win,"$2,750.00"
355,6,"$1,000.00",Win,"$5,000.00"
356,2.62,"$1,000.00",Lose,$0.00
357,12,"$1,000.00",Lose,$0.00
358,3.5,"$1,000.00",Lose,$0.00
359,5,"$1,000.00",Win,"$4,000.00"
360,5.5,"$1,000.00",Lose,$0.00
361,3.25,"$1,000.00",Lose,$0.00
362,1.73,"$1,000.00",Win,$730.00
363,3,"$1,000.00",Win,"$2,000.00"
364,5.5,"$1,000.00",Lose,$0.00
365,4.33,"$1,000.00",Lose,$0.00
366,7,"$1,000.00",Win,"$6,000.00"
367,6,"$1,000.00",Win,"$5,000.00"
368,3.5,"$1,000.00",Win,"$2,500.00"
369,8,"$1,000.00",Win,"$7,000.00"
370,3.75,"$1,000.00",Lose,$0.00
371,7,"$1,000.00",Lose,$0.00
372,3.75,"$1,000.00",Lose,$0.00
373,5,"$1,000.00",Lose,$0.00
374,5,"$1,000.00",Win,"$4,000.00"
375,4,"$1,000.00",Lose,$0.00
376,3.5,"$1,000.00",Lose,$0.00
377,7,"$1,000.00",Lose,$0.00
378,3,"$1,000.00",Win,"$2,000.00"
379,5,"$1,000.00",Lose,$0.00
380,4.5,"$1,000.00",Lose,$0.00
381,4.5,"$1,000.00",Lose,$0.00
382,7,"$1,000.00",Lose,$0.00
383,5,"$1,000.00",Lose,$0.00
384,9,"$1,000.00",Lose,$0.00
385,4,"$1,000.00",Win,"$3,000.00"
386,13,"$1,000.00",Win,"$12,000.00"
387,8,"$1,000.00",Lose,$0.00
388,15,"$1,000.00",Lose,$0.00
389,2.75,"$1,000.00",Lose,$0.00
390,4.5,"$1,000.00",Lose,$0.00
391,17,"$1,000.00",Lose,$0.00
392,8,"$1,000.00",Win,"$7,000.00"
393,10,"$1,000.00",Lose,$0.00
394,10,"$1,000.00",Win,"$9,000.00"
395,2.5,"$1,000.00",Lose,$0.00
396,3.25,"$1,000.00",Lose,$0.00
397,2.5,"$1,000.00",Lose,$0.00
398,3.25,"$1,000.00",Lose,$0.00
399,2.38,"$1,000.00",Lose,$0.00
400,17,"$1,000.00",Lose,$0.00
401,7,"$1,000.00",Win,"$6,000.00"
402,3.25,"$1,000.00",Lose,$0.00
403,2.62,"$1,000.00",Win,"$1,620.00"
404,13,"$1,000.00",Win,"$12,000.00"
405,9,"$1,000.00",Win,"$8,000.00"
406,5,"$1,000.00",Lose,$0.00
407,4.5,"$1,000.00",Win,"$3,500.00"
408,5.5,"$1,000.00",Lose,$0.00
409,5,"$1,000.00",Lose,$0.00
410,3.5,"$1,000.00",Lose,$0.00
411,3.25,"$1,000.00",Lose,$0.00
412,2.88,"$1,000.00",Win,"$1,880.00"
413,6.5,"$1,000.00",Lose,$0.00
414,2,"$1,000.00",Win,"$1,000.00"
415,3.5,"$1,000.00",Lose,$0.00
416,3,"$1,000.00",Lose,$0.00
417,4.5,"$1,000.00",Lose,$0.00
418,11,"$1,000.00",Lose,$0.00
419,5.5,"$1,000.00",Lose,$0.00
420,2.5,"$1,000.00",Lose,$0.00
421,7,"$1,000.00",Win,"$6,000.00"
422,6,"$1,000.00",Lose,$0.00
423,2.75,"$1,000.00",Win,"$1,750.00"
424,8,"$1,000.00",Lose,$0.00
425,2.25,"$1,000.00",Win,"$1,250.00"
426,7,"$1,000.00",Win,"$6,000.00"
427,3.25,"$1,000.00",Lose,$0.00
428,7,"$1,000.00",Win,"$6,000.00"
429,10,"$1,000.00",Win,"$9,000.00"
430,8,"$1,000.00",Lose,$0.00
431,2.62,"$1,000.00",Win,"$1,620.00"
432,3,"$1,000.00",Lose,$0.00
433,2.62,"$1,000.00",Win,"$1,620.00"
434,4.5,"$1,000.00",Lose,$0.00
435,2.1,"$1,000.00",Lose,$0.00
436,3.75,"$1,000.00",Lose,$0.00
437,3.75,"$1,000.00",Lose,$0.00
438,7,"$1,000.00",Lose,$0.00
439,2.38,"$1,000.00",Lose,$0.00
440,6,"$1,000.00",Win,"$5,000.00"
441,2.38,"$1,000.00",Win,"$1,380.00"
442,6.5,"$1,000.00",Lose,$0.00
443,3.75,"$1,000.00",Win,"$2,750.00"
444,4.33,"$1,000.00",Lose,$0.00
445,7.5,"$1,000.00",Lose,$0.00
446,3.25,"$1,000.00",Lose,$0.00
447,6,"$1,000.00",Lose,$0.00
448,13,"$1,000.00",Lose,$0.00
449,6.5,"$1,000.00",Win,"$5,500.00"
450,12,"$1,000.00",Lose,$0.00
451,3.5,"$1,000.00",Win,"$2,500.00"
452,21,"$1,000.00",Lose,$0.00
453,7,"$1,000.00",Lose,$0.00
454,2.62,"$1,000.00",Lose,$0.00
455,8.5,"$1,000.00",Lose,$0.00
456,3.75,"$1,000.00",Lose,$0.00
457,4,"$1,000.00",Lose,$0.00
458,2.88,"$1,000.00",Lose,$0.00
459,2.25,"$1,000.00",Lose,$0.00
460,10,"$1,000.00",Lose,$0.00
461,4.5,"$1,000.00",Lose,$0.00
462,2.75,"$1,000.00",Win,"$1,750.00"
463,3.5,"$1,000.00",Lose,$0.00
464,9,"$1,000.00",Lose,$0.00
465,6,"$1,000.00",Win,"$5,000.00"
466,13,"$1,000.00",Lose,$0.00
467,5.5,"$1,000.00",Lose,$0.00
468,7,"$1,000.00",Lose,$0.00
469,3.25,"$1,000.00",Lose,$0.00
470,2.5,"$1,000.00",Win,"$1,500.00"
471,6,"$1,000.00",Win,"$5,000.00"
472,6.5,"$1,000.00",Win,"$5,500.00"
473,2.5,"$1,000.00",Lose,$0.00
474,8,"$1,000.00",Lose,$0.00
475,5.5,"$1,000.00",Lose,$0.00
476,7.5,"$1,000.00",Lose,$0.00
477,3.5,"$1,000.00",Lose,$0.00
478,7.5,"$1,000.00",Win,"$6,500.00"
479,3.75,"$1,000.00",Lose,$0.00
480,2.38,"$1,000.00",Lose,$0.00
481,4.5,"$1,000.00",Win,"$3,500.00"
482,5,"$1,000.00",Lose,$0.00
483,5,"$1,000.00",Lose,$0.00
484,13,"$1,000.00",Lose,$0.00
485,7,"$1,000.00",Lose,$0.00
486,7.5,"$1,000.00",Win,"$6,500.00"
487,3.75,"$1,000.00",Lose,$0.00
488,2.5,"$1,000.00",Lose,$0.00
489,3.5,"$1,000.00",Lose,$0.00
490,12,"$1,000.00",Win,"$11,000.00"
491,2.88,"$1,000.00",Lose,$0.00
492,2.25,"$1,000.00",Lose,$0.00
493,7,"$1,000.00",Lose,$0.00
494,3.5,"$1,000.00",Lose,$0.00
495,7,"$1,000.00",Win,"$6,000.00"
496,5.5,"$1,000.00",Lose,$0.00
497,4.5,"$1,000.00",Lose,$0.00
498,10,"$1,000.00",Lose,$0.00
499,4.5,"$1,000.00",Lose,$0.00
500,8,"$1,000.00",Win,"$7,000.00"
501,5,"$1,000.00",Win,"$4,000.00"
502,4,"$1,000.00",Lose,$0.00
503,11,"$1,000.00",Lose,$0.00
504,8,"$1,000.00",Lose,$0.00
505,11,"$1,000.00",Lose,$0.00
506,8.5,"$1,000.00",Lose,$0.00
507,2.38,"$1,000.00",Win,"$1,380.00"
508,7,"$1,000.00",Lose,$0.00
509,5,"$1,000.00",Lose,$0.00
510,2.75,"$1,000.00",Lose,$0.00
511,3.25,"$1,000.00",Lose,$0.00
512,3.75,"$1,000.00",Lose,$0.00
513,12,"$1,000.00",Lose,$0.00
514,6.5,"$1,000.00",Lose,$0.00
515,2.62,"$1,000.00",Win,"$1,620.00"
516,5,"$1,000.00",Win,"$4,000.00"
517,8,"$1,000.00",Win,"$7,000.00"
518,4,"$1,000.00",Lose,$0.00
519,7,"$1,000.00",Win,"$6,000.00"
520,2.63,"$1,000.00",Lose,$0.00
521,4,"$1,000.00",Lose,$0.00
522,7,"$1,000.00",Win,"$6,000.00"
523,2.75,"$1,000.00",Lose,$0.00
524,3.25,"$1,000.00",Lose,$0.00
525,3,"$1,000.00",Win,"$2,000.00"
526,9,"$1,000.00",Lose,$0.00
527,7,"$1,000.00",Lose,$0.00
528,3,"$1,000.00",Lose,$0.00
529,3.5,"$1,000.00",Win,"$2,500.00"
530,4,"$1,000.00",Win,"$3,000.00"
531,5,"$1,000.00",Lose,$0.00
532,1.83,"$1,000.00",Lose,$0.00
533,6,"$1,000.00",Lose,$0.00
534,2.62,"$1,000.00",Win,"$1,620.00"
535,4,"$1,000.00",Win,"$3,000.00"
536,15,"$1,000.00",Lose,$0.00
537,9,"$1,000.00",Win,"$8,000.00"
538,8,"$1,000.00",Win,"$7,000.00"
539,3,"$1,000.00",Win,"$2,000.00"
540,7,"$1,000.00",Lose,$0.00
541,6.5,"$1,000.00",Lose,$0.00
542,2.2,"$1,000.00",Win,"$1,200.00"
543,3.5,"$1,000.00",Lose,$0.00
544,2.62,"$1,000.00",Lose,$0.00
545,8,"$1,000.00",Lose,$0.00
546,3,"$1,000.00",Win,"$2,000.00"
547,5,"$1,000.00",Win,"$4,000.00"
548,2.1,"$1,000.00",Lose,$0.00
549,6.5,"$1,000.00",Win,"$5,500.00"
550,15,"$1,000.00",Win,"$14,000.00"
551,11,"$1,000.00",Win,"$10,000.00"
552,3.75,"$1,000.00",Lose,$0.00
553,5,"$1,000.00",Lose,$0.00
554,7.5,"$1,000.00",Lose,$0.00
555,8,"$1,000.00",Lose,$0.00
556,5.5,"$1,000.00",Win,"$4,500.00"
557,6.5,"$1,000.00",Lose,$0.00
558,10,"$1,000.00",Win,"$9,000.00"
559,9,"$1,000.00",Lose,$0.00
560,2.1,"$1,000.00",Win,"$1,100.00"
561,3,"$1,000.00",Lose,$0.00
562,2.75,"$1,000.00",Lose,$0.00
563,5.5,"$1,000.00",Lose,$0.00
564,5.5,"$1,000.00",Lose,$0.00
565,3.25,"$1,000.00",Lose,$0.00
566,3.5,"$1,000.00",Win,"$2,500.00"
567,2.25,"$1,000.00",Win,"$1,250.00"
568,2.38,"$1,000.00",Lose,$0.00
569,5.5,"$1,000.00",Lose,$0.00
570,3,"$1,000.00",Lose,$0.00
571,3.25,"$1,000.00",Lose,$0.00
572,5,"$1,000.00",Win,"$4,000.00"
573,17,"$1,000.00",Lose,$0.00
574,2.38,"$1,000.00",Win,"$1,380.00"
575,3.5,"$1,000.00",Lose,$0.00
576,5,"$1,000.00",Lose,$0.00
577,5.5,"$1,000.00",Lose,$0.00
578,3.25,"$1,000.00",Lose,$0.00
579,11,"$1,000.00",Win,"$10,000.00"
580,3.75,"$1,000.00",Win,"$2,750.00"
581,19,"$1,000.00",Lose,$0.00
582,5,"$1,000.00",Lose,$0.00
583,10,"$1,000.00",Win,"$9,000.00"
584,3.5,"$1,000.00",Lose,$0.00
585,11,"$1,000.00",Win,"$10,000.00"
586,3.25,"$1,000.00",Win,"$2,250.00"
587,3.5,"$1,000.00",Lose,$0.00
588,3.5,"$1,000.00",Lose,$0.00
589,4,"$1,000.00",Lose,$0.00
590,2.62,"$1,000.00",Lose,$0.00
591,7.5,"$1,000.00",Win,"$6,500.00"
592,3.75,"$1,000.00",Lose,$0.00
593,2.37,"$1,000.00",Win,"$1,370.00"
594,4.5,"$1,000.00",Lose,$0.00
595,4,"$1,000.00",Lose,$0.00
596,6.5,"$1,000.00",Win,"$5,500.00"
597,7.5,"$1,000.00",Lose,$0.00
598,3.5,"$1,000.00",Lose,$0.00
599,2.25,"$1,000.00",Lose,$0.00
600,5.5,"$1,000.00",Lose,$0.00
601,4.5,"$1,000.00",Lose,$0.00
602,6.5,"$1,000.00",Win,"$5,500.00"
603,5,"$1,000.00",Lose,$0.00
604,8.5,"$1,000.00",Win,"$7,500.00"
605,9,"$1,000.00",Win,"$8,000.00"
606,41,"$1,000.00",Win,"$40,000.00"
